,CODIGO_MUNICIPIO_x,año_test,numero_muestras,positivo,negativo
84,15491.0,2021.0,153.0,23.0,130.0
85,15494.0,2021.0,10.0,0.0,10.0
86,15500.0,2021.0,117.0,0.0,117.0
87,15516.0,2021.0,951.0,14.0,526.0
88,15572.0,2020.0,13.0,0.0,13.0
89,15572.0,2021.0,804.0,2.0,802.0
90,15632.0,2021.0,295.0,0.0,295.0
91,15676.0,2021.0,740.0,33.0,707.0
92,15693.0,2021.0,451.0,37.0,382.0
93,15759.0,2021.0,18.0,3.0,15.0
94,15763.0,2021.0,1022.0,13.0,727.0
95,15764.0,2021.0,65.0,0.0,0.0
96,15806.0,2021.0,273.0,16.0,257.0
97,15808.0,2021.0,31.0,0.0,31.0
98,15814.0,2021.0,244.0,11.0,235.0
99,15837.0,2021.0,142.0,11.0,131.0
100,15861.0,2021.0,94.0,6.0,88.0
101,17001.0,2021.0,1080.0,8.0,1072.0
102,17042.0,2021.0,250.0,9.0,241.0
103,17050.0,2021.0,133.0,0.0,133.0
104,17088.0,2021.0,89.0,3.0,86.0
105,17272.0,2020.0,23.0,0.0,23.0
106,17272.0,2021.0,102.0,0.0,29.0
107,17380.0,2021.0,416.0,3.0,413.0
108,17486.0,2021.0,63.0,3.0,42.0
109,17524.0,2021.0,840.0,20.0,663.0
110,17616.0,2021.0,403.0,8.0,395.0
111,17665.0,2021.0,93.0,0.0,93.0
112,17867.0,2021.0,189.0,8.0,181.0
113,17873.0,2021.0,1476.0,26.0,1394.0
114,17877.0,2021.0,340.0,8.0,332.0
115,18001.0,2021.0,680.0,12.0,668.0
116,18094.0,2021.0,191.0,7.0,184.0
117,18150.0,2021.0,40.0,1.0,39.0
118,18247.0,2021.0,357.0,28.0,329.0
119,18256.0,2021.0,25.0,0.0,25.0
120,18410.0,2021.0,35.0,0.0,35.0
121,18460.0,2021.0,16.0,0.0,16.0
122,18479.0,2021.0,229.0,0.0,229.0
123,18592.0,2021.0,173.0,0.0,173.0
124,18753.0,2021.0,417.0,8.0,409.0
125,18860.0,2021.0,306.0,0.0,306.0
126,19110.0,2021.0,240.0,0.0,240.0
127,19130.0,2021.0,73.0,0.0,73.0
128,19212.0,2021.0,516.0,0.0,516.0
129,19698.0,2021.0,45.0,0.0,45.0
130,20001.0,2021.0,167.0,0.0,167.0
131,20011.0,2021.0,25.0,1.0,24.0
132,20060.0,2021.0,413.0,0.0,413.0
133,20295.0,2021.0,290.0,4.0,286.0
134,20614.0,2021.0,37.0,0.0,37.0
135,20710.0,2021.0,652.0,8.0,644.0
136,20770.0,2021.0,1239.0,13.0,1194.0
137,23001.0,2021.0,4388.0,21.0,4360.0
138,23068.0,2021.0,335.0,36.0,299.0
139,23079.0,2021.0,45.0,0.0,45.0
140,23090.0,2021.0,14.0,0.0,14.0
141,23162.0,2021.0,738.0,6.0,732.0
142,23168.0,2021.0,27.0,0.0,27.0
143,23182.0,2021.0,6.0,0.0,6.0
144,23189.0,2021.0,692.0,24.0,668.0
145,23350.0,2021.0,523.0,25.0,498.0
146,23417.0,2021.0,1408.0,30.0,1378.0
147,23419.0,2021.0,262.0,0.0,262.0
148,23466.0,2021.0,847.0,42.0,805.0
149,23555.0,2021.0,814.0,5.0,809.0
150,23570.0,2021.0,1774.0,0.0,1774.0
151,23574.0,2021.0,5.0,0.0,5.0
152,23580.0,2021.0,38.0,0.0,38.0
153,23660.0,2021.0,282.0,8.0,294.0
154,23678.0,2021.0,33.0,0.0,33.0
155,23686.0,2021.0,154.0,1.0,153.0
156,23807.0,2021.0,416.0,51.0,365.0
157,23855.0,2021.0,1324.0,28.0,1296.0
158,25001.0,2021.0,130.0,8.0,122.0
159,25035.0,2021.0,181.0,0.0,181.0
160,25040.0,2021.0,48.0,0.0,48.0
161,25053.0,2021.0,226.0,17.0,166.0
162,25099.0,2021.0,558.0,6.0,546.0
163,25126.0,2021.0,637.0,5.0,123.0
164,25148.0,2021.0,14.0,0.0,14.0
165,25154.0,2021.0,5.0,0.0,5.0
166,25175.0,2021.0,162.0,6.0,156.0
167,25181.0,2021.0,37.0,4.0,27.0
168,25183.0,2018.0,332.0,3.0,329.0
169,25183.0,2021.0,1509.0,72.0,1357.0
170,25200.0,2021.0,1550.0,94.0,1456.0
171,25214.0,2021.0,811.0,44.0,773.0
172,25224.0,2021.0,12.0,0.0,12.0
173,25260.0,2021.0,1556.0,27.0,1311.0
174,25269.0,2020.0,17.0,0.0,17.0
175,25269.0,2021.0,2092.0,41.0,1618.0
176,25286.0,2021.0,410.0,24.0,334.0
177,25288.0,2021.0,414.0,33.0,379.0
178,25290.0,2021.0,507.0,35.0,472.0
179,25295.0,2021.0,779.0,11.0,766.0
180,25297.0,2021.0,220.0,26.0,190.0
181,25307.0,2021.0,13.0,0.0,13.0
182,25312.0,2021.0,125.0,2.0,123.0
183,25317.0,2018.0,114.0,0.0,114.0
184,25317.0,2021.0,267.0,13.0,254.0
185,25320.0,2021.0,713.0,5.0,708.0
186,25322.0,2021.0,1447.0,52.0,1304.0
187,25326.0,2021.0,1827.0,99.0,1631.0
188,25377.0,2020.0,37.0,4.0,33.0
189,25377.0,2021.0,764.0,34.0,727.0
190,25386.0,2021.0,85.0,7.0,78.0
191,25402.0,2021.0,115.0,1.0,114.0
192,25407.0,2021.0,507.0,11.0,496.0
193,25426.0,2021.0,18.0,0.0,11.0
